listing_id,end_time,settle_time,listing_type,listing_state,horse_id,horse_name,horse_gender,hex_color,generation,bloodline,complete_rating,breeding_slots,winning_bid_amount,winning_bidder,total_bids,user_id
8bcaced3-f550-427a-b37e-716225c5f1de,2025-06-17T23:55:00+00:00,2025-06-17T23:55:00+00:00,STUD_AUCTION,COMPLETE,b223866a-70d2-4672-bc5b-a47cd7e7d2bc,Ketamine,MALE,512DA8,2,NAKAMOTO,4.0,1,93460.0,Quads,11,0c85ddac-2b68-41af-96e3-14e915e316c8
3f733f86-8cc3-4e6d-8ce8-fcab6d81d62f,2025-06-17T23:54:25+00:00,2025-06-17T23:54:25+00:00,STUD_AUCTION,COMPLETE,09a405b0-6e0a-4a1a-bc0b-c4b627ffd8f5,Code Anomaly,MALE,EF9A9A,2,NAKAMOTO,4.0,0,45330.0,Reference,8,af186f26-12a6-47d0-bc68-5665df9f64fe
c0fdc874-bf5d-4433-929a-716edd9ef8b1,2025-06-17T23:54:07+00:00,2025-06-17T23:54:07+00:00,STUD_AUCTION,COMPLETE,3daf37c0-fc9f-4203-b634-324fc1ce4710,Broken Metal,MALE,F9A825,3,FINNEY,3.0,0,1310.0,Big Partner,12,af186f26-12a6-47d0-bc68-5665df9f64fe
a763ad09-cf96-49e9-8bb8-fd42b82e6450,2025-06-17T23:53:55+00:00,2025-06-17T23:53:55+00:00,STUD_AUCTION,COMPLETE,9d972e08-f823-4b27-8951-a61b8ea2a7f3,Unplugged,MALE,AB47BC,2,BUTERIN,3.0,0,1310.0,Frozen Treat,8,af186f26-12a6-47d0-bc68-5665df9f64fe
2433bded-ec6d-41a1-82c7-0f6c1f5237d7,2025-06-17T23:50:54+00:00,2025-06-17T23:50:54+00:00,STUD_AUCTION,COMPLETE,0b137a6f-3550-4073-a00e-c86382cb62e2,Realistic Percentage,MALE,0288D1,0,SZABO,3.0,0,9560.0,Burnt Ash,8,2428fe54-647b-4ddc-9bc8-f8cffbb35679
052d59d1-4779-405f-b70a-baf450be0de5,2025-06-17T23:47:21+00:00,2025-06-17T23:47:21+00:00,STUD_AUCTION,COMPLETE,0ae4ea23-5fde-4247-a4b7-9ea76b2881d2,Likeable Kiwi,MALE,039BE5,3,BUTERIN,3.0,0,110.0,Amiable Clerestory,2,36a908d1-b8ae-4d42-aa1a-65c791fb4495
681d35e2-6a38-4523-ad5a-b911f18e0bc5,2025-06-17T23:47:11+00:00,2025-06-17T23:47:11+00:00,STUD_AUCTION,COMPLETE,1683da87-94a8-4ff3-97e7-de0aefcb7854,Wholesome Wolverine,MALE,EC407A,1,NAKAMOTO,3.0,0,510.0,Reference,2,36a908d1-b8ae-4d42-aa1a-65c791fb4495
e6514a96-165f-4f1d-b1ca-909b57a072ef,2025-06-17T23:46:57+00:00,2025-06-17T23:46:57+00:00,STUD_AUCTION,COMPLETE,fb5b0f73-bf8e-4834-8f66-8538837355c1,Outgoing Knit,MALE,E91E63,2,FINNEY,3.0,0,750.0,Reference,8,36a908d1-b8ae-4d42-aa1a-65c791fb4495
754d55ad-c0e6-4b1a-816e-70873c7cde50,2025-06-17T23:46:37+00:00,2025-06-17T23:46:37+00:00,STUD_AUCTION,COMPLETE,a8d53830-4e1d-48e7-b979-3c112360c403,Hold On,MALE,5E35B1,4,SZABO,3.0,0,940.0,Reference,5,0e98e55c-fd9f-4b4c-b511-b1a6972a26ca
8a717abd-5784-4b0c-bbbb-3f98b0b1b09c,2025-06-17T23:46:33+00:00,2025-06-17T23:46:33+00:00,STUD_AUCTION,COMPLETE,9eaebff7-bee3-4992-a5aa-82f9f2b73f9f,Usain Bolt,MALE,29B6F6,3,SZABO,3.5,1,15400.0,Reference,11,36a908d1-b8ae-4d42-aa1a-65c791fb4495
16fe6054-9932-4c23-8243-55d3da5a4216,2025-06-17T23:46:31+00:00,2025-06-17T23:46:31+00:00,STUD_AUCTION,COMPLETE,5f671d9a-aae8-46a9-946d-42a67cbf3c99,Riddick,MALE,E91E63,1,FINNEY,4.0,1,112010.0,Rusty Goat,25,77c73bec-3021-4d68-90c1-0979acd41dcd
d51371ae-4f10-44d4-9ebe-edd04c702f2a,2025-06-17T23:46:18+00:00,2025-06-17T23:46:18+00:00,STUD_AUCTION,COMPLETE,2b23fdce-62f2-494c-98f8-dc24291c3b18,Patient Pendentive,MALE,E53935,1,FINNEY,3.5,0,17010.0,Blazing Saddles,14,36a908d1-b8ae-4d42-aa1a-65c791fb4495
f7c931bb-0124-4291-b83f-d9863e3383c4,2025-06-17T23:46:04+00:00,2025-06-17T23:46:04+00:00,STUD_AUCTION,COMPLETE,044afa55-3a75-470c-b0f2-30b872696692,Fervent Pine,MALE,03A9F4,1,FINNEY,3.0,0,6180.0,Reference,4,36a908d1-b8ae-4d42-aa1a-65c791fb4495
bec26990-abef-4434-926d-60f1e07bde24,2025-06-17T23:44:10+00:00,2025-06-17T23:44:10+00:00,STUD_AUCTION,COMPLETE,07886bae-4509-42c5-a80e-822090292533,Alien Pig Farm 3000,MALE,7C4DFF,1,FINNEY,3.0,0,1510.0,Candle Wax,35,29ebe99a-5271-4c60-940f-5de4d32c7a01
d7ff6ebe-b549-42c4-acf7-538c4fc32c5e,2025-06-17T23:42:44+00:00,2025-06-17T23:42:44+00:00,STUD_AUCTION,COMPLETE,ba2c6aa3-2428-4a28-9bfa-346b90d071c1,Optimum,MALE,512DA8,2,FINNEY,3.5,0,10620.0,Sea Nymph,5,70ef4f9a-686d-4a2f-b62b-09f6f248ec08
6280d36b-33bd-4c12-a49a-edc044e46d96,2025-06-17T23:42:30+00:00,2025-06-17T23:42:30+00:00,STUD_AUCTION,COMPLETE,abf2599c-bff6-47b5-aeb1-32a4e6aeccd6,3775 Tiger Woods,MALE,E91E63,1,NAKAMOTO,4.0,2,53000.0,whodunnit,3,70ef4f9a-686d-4a2f-b62b-09f6f248ec08
1854a265-15df-4187-86dd-cff114b502f3,2025-06-17T23:39:33+00:00,2025-06-17T23:39:33+00:00,STUD_AUCTION,COMPLETE,05651e23-6a7b-46f3-9212-574f9f933043,Finger Lickin Good,MALE,D81B60,4,FINNEY,3.0,0,1630.0,Stratospheric,5,0e98e55c-fd9f-4b4c-b511-b1a6972a26ca
